,total_fees
121,9.40120233504046
122,0.0
123,0.538108970299724
124,29.9567163754434
125,0.0081866066951758
126,0.314600137693548
127,0.0
128,0.0
129,130.6816493913188
130,2.0865417412011
131,0.0201297224893078
132,8.51261170514892
133,12.1625288025714
134,3.92232737377374
135,0.860667894681288
136,64.0079284249292
137,43.701649760185
138,0.0
139,0.0
140,0.0
141,0.0
142,3.8055638668663
143,16.75668522998018
144,33.2294597974922
145,0.479594738252912
146,18.20636430122284
147,0.979494452150264
148,0.0
149,1.153896467093826
150,0.0
151,0.0303357066098372
152,1.209210929855644
153,0.24309447237482
154,0.0
155,60.6822731572974
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0251478673280806
163,0.0
164,15.79291780460128
165,0.0
166,0.0
167,0.1104912137872612
168,59.1238099215084
169,0.0696347940398272
170,0.566552245564282
171,1.079027806425596
172,0.0
173,0.479144387538374
174,0.0
175,0.0
176,0.304016315243316
177,196.1073001880258
178,0.0
179,2.882226221596
180,0.0
181,0.0
182,0.080050885864478
183,0.0
184,0.393344125442736
185,0.0
186,0.000156184698858733
187,0.0
188,56.2831884659606
189,0.261201659064692
190,0.0
191,13.9879726698742
192,0.0098442082481194
193,0.0539664259102944
194,14.61960622758546
195,8.78898308756386
196,0.0
197,0.0179945009692608
198,0.0
199,0.0
200,5.930297971419
201,3.76884692495332
202,2.2784848445227
203,0.0157881244543978
204,0.0
205,2.4938897400083
206,0.0
207,1.50979487447954
208,4.93162177440158
209,0.0
210,2.10079117656206
211,0.58173034880666
212,1.610354578406894
213,0.0
214,1.526158788433094
215,0.0
216,0.0
217,0.035623739888599
218,4.91934539962568
219,12.3845717439981
220,0.5394910411211
221,0.0
222,0.0284026990912692
223,49.1438320180748
224,0.0
225,0.0201281028629604
226,0.595674252033132
227,1.28652250645375
228,0.443491479655384
229,0.197146429115211
230,6.84867328321904
231,0.0
232,0.0334911098204326
233,0.0
234,0.0
235,0.689381075300444
236,0.045957103522148
237,8.43577718351674
238,0.0345732808114448
239,0.0451028012084852
240,0.1172075496458
241,0.0
242,0.325231349798802
243,0.0
244,0.0
245,2.11582690733968
246,16.64250111979862
247,3.25469370187036
248,9.2046876300689
249,0.0
250,0.1654459774100422
251,0.0
252,0.0
253,0.0
254,0.0
255,0.598670658900134
256,0.0
257,0.0
258,1.133343950567744
259,0.0
260,0.563409264175448
261,96.0623483722312
262,0.396838482012766
263,0.0796819516313328
264,0.0163490593005982
265,0.251224327622158
266,0.0
267,0.082777831988204
268,0.0
269,2.59956125057848
270,0.0
271,39.3243063460224
272,4.84906756285812
273,0.0
274,0.0
275,0.0
276,0.0
277,0.49832267908595
278,0.0
279,1.424203552634678
280,0.544871044151376
281,0.27006852402231
282,0.0
283,20.1647919142282
284,0.0
285,4.40456273785674
286,1.502322426651128
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0054173942448418
292,9.33045174243726
293,45.91903504274
